,Murder,Assault,UrbanPop,Rape
Alabama,0.8,45,58,7.3
Alaska,2.1,46,48,7.8
Arizona,2.1,48,80,8.3
Arkansas,2.2,53,50,9.3
California,2.2,56,91,9.5
Colorado,2.6,57,78,10.8
Connecticut,2.6,72,77,11.1
Delaware,2.7,81,72,11.2
Florida,3.2,83,80,11.3
Georgia,3.3,86,60,12.8
Hawaii,3.4,102,83,14.2
Idaho,3.8,106,54,14.9
Illinois,4.0,109,83,14.9
Indiana,4.3,109,65,15.6
Iowa,4.4,110,57,15.8
Kansas,4.9,113,66,16.1
Kentucky,5.3,115,52,16.3
Louisiana,5.7,120,66,16.3
Maine,5.9,120,51,16.4
Maryland,6.0,120,67,16.5
Massachusetts,6.0,145,85,17.1
Michigan,6.3,149,74,18.0
Minnesota,6.6,151,66,18.8
Mississippi,6.8,156,44,19.5
Missouri,7.2,159,70,20.0
Montana,7.3,159,53,20.2
Nebraska,7.4,161,62,20.7
Nevada,7.9,174,81,21.0
New Hampshire,8.1,178,56,21.2
New Jersey,8.5,188,89,21.4
New Mexico,8.8,190,70,22.2
New York,9.0,201,86,22.5
North Carolina,9.0,204,45,22.9
North Dakota,9.7,211,44,24.0
Ohio,10.0,236,75,25.5
Oklahoma,10.4,238,68,25.8
Oregon,11.1,249,67,26.1
Pennsylvania,11.3,249,72,26.2
Rhode Island,11.4,252,87,26.9
South Carolina,12.1,254,48,27.8
South Dakota,12.2,255,45,28.2
Tennessee,12.7,259,59,29.3
Texas,13.0,263,80,31.0
Utah,13.2,276,80,31.9
Vermont,13.2,279,32,32.1
Virginia,14.4,285,63,35.1
Washington,15.4,294,73,38.7
West Virginia,15.4,300,39,40.6
Wisconsin,16.1,335,66,44.5
Wyoming,17.4,337,60,46.0
